word,datetime,tag,mastered,learning,favorite
aware,2022-12-01 15:04:07,test,0,0,1
placebo,2022-12-01 15:04:08,,0,0,0
butterfly,2022-12-01 15:04:09,,0,0,1
aware,2022-12-01 18:33:00,test,0,0,1
antonym,2022-12-01 18:37:02,,0,0,0
aware,2022-12-01 18:37:03,test,0,0,1
antonym,2022-12-01 18:37:44,,0,0,0
aware,2022-12-01 18:37:45,test,0,0,1
antonym,2022-12-01 18:38:18,,0,0,0
aware,2022-12-01 18:38:20,test,0,0,1
antonym,2022-12-01 18:38:51,,0,0,0
aware,2022-12-01 18:38:52,test,0,0,1
antonym,2022-12-01 18:40:06,,0,0,0
aware,2022-12-01 18:40:07,test,0,0,1
antonym,2022-12-01 18:40:12,,0,0,0
aware,2022-12-01 18:40:14,test,0,0,1
antonym,2022-12-01 18:40:43,,0,0,0
aware,2022-12-01 18:40:44,test,0,0,1
antonym,2022-12-01 18:41:31,,0,0,0
aware,2022-12-01 18:41:32,test,0,0,1
antonym,2022-12-01 18:42:20,,0,0,0
aware,2022-12-01 18:42:21,test,0,0,1
antonym,2022-12-01 18:42:29,,0,0,0
aware,2022-12-01 18:42:30,test,0,0,1
antonym,2022-12-01 18:43:07,,0,0,0
aware,2022-12-01 18:43:08,test,0,0,1
antonym,2022-12-01 18:43:32,,0,0,0
aware,2022-12-01 18:43:34,test,0,0,1
antonym,2022-12-01 18:43:45,,0,0,0
aware,2022-12-01 18:43:46,test,0,0,1
antonym,2022-12-01 18:44:06,,0,0,0
aware,2022-12-01 18:44:07,test,0,0,1
antonym,2022-12-01 18:44:54,,0,0,0
aware,2022-12-01 18:44:55,test,0,0,1
antonym,2022-12-01 18:45:24,,0,0,0
aware,2022-12-01 18:45:25,test,0,0,1
antonym,2022-12-01 18:45:58,,0,0,0
aware,2022-12-01 18:45:59,test,0,0,1
antonym,2022-12-01 18:46:19,,0,0,0
aware,2022-12-01 18:46:20,test,0,0,1
antonym,2022-12-01 18:47:22,,0,0,0
aware,2022-12-01 18:47:23,test,0,0,1
amazing,2022-12-01 18:51:59,diamonds,0,0,0
amazing,2022-12-01 18:55:01,diamonds,0,0,0
grace,2022-12-01 18:55:04,diamonds,0,0,0
how,2022-12-01 18:55:06,,0,0,0
sweet,2022-12-01 18:55:08,,1,0,0
the,2022-12-01 18:55:11,,0,0,0
sound,2022-12-01 18:55:14,,0,0,0
chandelier,2022-12-01 18:55:16,,0,0,0
environment,2022-12-01 22:57:20,,0,0,0
placebo,2022-12-01 22:57:31,,0,0,0
effect,2022-12-01 22:57:41,,0,0,0
reindeer,2022-12-01 22:57:46,,0,0,0
aware,2022-12-01 22:57:57,test,0,0,1
environment,2022-12-01 22:58:03,,0,0,0
placebo,2022-12-01 22:58:10,,0,0,0
effect,2022-12-01 22:58:16,,0,0,0
reindeer,2022-12-01 22:58:38,,0,0,0
aware,2022-12-01 22:58:43,test,0,0,1
environment,2022-12-01 22:58:48,,0,0,0
placebo,2022-12-01 22:59:04,,0,0,0
envoy,2022-12-05 15:38:30,,0,0,0
envy,2022-12-05 15:38:31,,0,1,0
environment,2022-12-05 15:51:13,,0,0,0
placebo,2022-12-05 15:51:15,,0,0,0
envoy,2022-12-05 15:51:16,,0,0,0
wheeler,2022-12-06 11:37:46,,0,0,0
breaths,2022-12-06 11:38:15,,0,0,0
ommatophore,2022-12-06 11:38:29,,0,0,0
shielings,2022-12-06 11:38:38,,0,0,0
thermostable,2022-12-06 11:40:57,,0,0,0
aberrant,2022-12-06 12:08:01,,0,0,0
recalcitrant,2022-12-06 12:09:25,,0,0,0
high,2022-12-06 12:31:12,,0,0,0
change,2022-12-06 13:06:02,,0,0,1
aware,2022-12-06 13:06:59,test,0,0,1
mellow,2022-12-06 19:27:57,,0,0,0
panache,2022-12-06 19:27:59,,0,0,0
panache,2022-12-06 19:28:21,,0,0,0
fruit,2022-12-06 19:28:24,,0,0,0
python,2022-12-08 13:38:09,,0,0,1
baccalaureate,2022-12-10 13:05:44,,0,0,0
python,2022-12-10 13:20:52,,0,0,1
bee,2022-12-10 13:21:31,diamonds,0,0,0
aware,2022-12-10 13:23:05,test,0,0,1
bee,2022-12-10 19:07:29,diamonds,0,0,0
gems,2022-12-10 19:44:57,diamonds,0,0,0
introspect,2022-12-10 19:45:01,diamonds,0,0,1
bee,2022-12-10 19:48:02,diamonds,0,0,0
bee,2022-12-10 19:49:52,diamonds,0,0,0
bee,2022-12-10 19:52:24,diamonds,0,0,0
gems,2022-12-10 19:52:28,diamonds,0,0,0
introspect,2022-12-10 19:52:31,diamonds,0,0,1
gems,2022-12-10 19:52:38,diamonds,0,0,0
introspect,2022-12-10 19:52:41,diamonds,0,0,1
gems,2022-12-10 20:00:37,diamonds,0,0,0
bee,2022-12-10 20:02:35,diamonds,0,0,0
gems,2022-12-10 20:02:38,diamonds,0,0,0
introspect,2022-12-10 20:02:41,diamonds,0,0,1
bee,2022-12-10 20:02:49,diamonds,0,0,0
bee,2022-12-10 20:03:00,diamonds,0,0,0
gems,2022-12-10 20:03:03,diamonds,0,0,0
introspect,2022-12-10 20:03:05,diamonds,0,0,1
bee,2022-12-10 20:04:56,diamonds,0,0,0
gems,2022-12-10 20:05:00,diamonds,0,0,0
introspect,2022-12-10 20:05:03,diamonds,0,0,1
gems,2022-12-10 20:05:56,diamonds,0,0,0
introspect,2022-12-10 20:05:59,diamonds,0,0,1
gems,2022-12-10 20:06:11,diamonds,0,0,0
gems,2022-12-10 20:06:18,diamonds,0,0,0
bee,2022-12-10 20:06:23,diamonds,0,0,0
gems,2022-12-10 20:06:37,diamonds,0,0,0
introspect,2022-12-10 20:06:39,diamonds,0,0,1
gems,2022-12-10 20:09:48,diamonds,0,0,0
effect,2022-12-10 20:09:52,,0,0,0
wisdom,2022-12-10 20:12:02,diamonds,0,0,1
change,2022-12-10 20:12:06,,0,0,1
aware,2022-12-10 20:12:19,test,0,0,1
bee,2022-12-10 20:12:22,diamonds,0,0,0
aware,2022-12-10 20:14:01,test,0,0,1
bee,2022-12-10 20:14:07,diamonds,0,0,0
aware,2022-12-10 20:14:50,test,0,0,1
bee,2022-12-10 20:15:20,diamonds,0,0,0
aware,2022-12-10 20:15:27,test,0,0,1
aware,2022-12-10 20:16:08,test,0,0,1
bee,2022-12-10 20:16:11,diamonds,0,0,0
change,2022-12-10 20:17:05,,0,0,1
aware,2022-12-10 20:17:09,test,0,0,1
bee,2022-12-10 20:17:12,diamonds,0,0,0
change,2022-12-10 20:17:24,,0,0,1
effect,2022-12-10 20:17:28,,0,0,0
gems,2022-12-10 20:17:31,diamonds,0,0,0
convalescing,2022-12-10 23:29:56,,0,0,0
latitude,2022-12-10 23:30:04,,1,0,0
agave,2022-12-10 23:30:10,,0,0,1
hugely,2022-12-10 23:30:15,,0,0,0
bowl,2022-12-10 23:30:20,,0,0,0
recognisances,2022-12-10 23:30:26,,0,0,0
foreshore,2022-12-10 23:30:32,,0,0,0
effect,2022-12-11 15:14:04,,0,0,0
wisdom,2022-12-11 15:14:06,diamonds,0,0,1
placebo,2022-12-11 15:14:08,,0,0,0
introspect,2022-12-11 15:16:12,diamonds,0,0,1
introspect,2022-12-11 16:05:35,diamonds,0,0,1
aware,2022-12-11 16:05:44,test,0,0,1
python,2022-12-11 16:05:52,,0,0,1
foreshore,2022-12-11 16:05:55,,0,0,0
aware,2022-12-11 16:06:23,test,0,0,1
latitude,2022-12-11 16:06:31,,1,0,0
introspect,2022-12-11 16:12:24,diamonds,0,0,1
helium,2022-12-11 22:24:15,,0,0,0
envy,2022-12-12 12:05:05,,0,1,0
aware,2022-12-12 13:20:34,test,0,0,1
helium,2022-12-12 13:38:15,,0,0,0
foreshore,2022-12-12 13:38:17,,0,0,0
bowl,2022-12-12 13:38:18,,0,0,0
breaths,2022-12-12 13:38:19,,0,0,0
how,2022-12-12 13:38:20,,0,0,0
bee,2022-12-12 13:38:22,diamonds,0,0,0
wisdom,2022-12-12 13:38:23,diamonds,0,0,1
bee,2022-12-12 13:43:10,diamonds,0,0,0
wisdom,2022-12-12 13:43:11,diamonds,0,0,1
wisdom,2022-12-12 13:43:54,diamonds,0,0,1
bee,2022-12-12 13:43:56,diamonds,0,0,0
introspect,2022-12-12 15:13:42,diamonds,0,0,1
grace,2022-12-12 15:13:46,diamonds,0,0,0
amazing,2022-12-12 15:13:48,diamonds,0,0,0
bee,2022-12-12 15:18:38,diamonds,0,0,0
latitude,2022-12-13 12:47:04,,1,0,0
sweet,2022-12-13 12:47:07,,1,0,0
